TD 9D 8D 7D 6D TD 9D 8D 7D 6D Tie.
KD KD 9C 9S 2H 9C 8S 7D 6H 5D White wins.
KD KD 9C 9S 2H 8S 7D 6H 5D 4C White wins.
KD KD 9C 9S 2H AS AD AH KD 9C White wins.
KD KD 9C 9S 2H KD TS TD TH 9C White wins.
KD KD 9C 9S 2H KD 9C 5S 5D 5H White wins.
KD KD 9C 9S 2H KD KD 9C 9S 5H White wins.
KD KD 9C 9S 2H KD KD 9C 9S 2H Tie.
KD KD 9C 9S 2H KD KD 8C 8S 2H Black wins.
KD KD 9C 9S 2H KD KD 9C 5S 2H Black wins.
KD KD 9C 9S 2H KD KD 8C 5S 2H Black wins.
KD KD 9C 9S 2H KD 9C 5S 5D 2H Black wins.
KD KD 9C 9S 2H KD 9C 5S 3D 2H Black wins.
KD KD 9C 9S 2H TD 9C 5S 3D 2H Black wins.
KD KD 9C 9S 2H 9C 8D 5S 3D 2H Black wins.
KD KD 8C 8S 2H TD 9D 8D 7D 6D White wins.
KD KD 8C 8S 2H 9D 8D 7D 6D 5D White wins.
KD KD 8C 8S 2H 8D 7D 6D 5D 4D White wins.
KD KD 8C 8S 2H AC AS AD AH 9D White wins.
KD KD 8C 8S 2H TC TS TD TH 9D White wins.
KD KD 8C 8S 2H AS AD AH 9D 9C White wins.
KD KD 8C 8S 2H TS TD TH 9D 9C White wins.
KD KD 8C 8S 2H KD 9D 5D 3D 2D White wins.
KD KD 8C 8S 2H TD 9D 5D 3D 2D White wins.
KD KD 8C 8S 2H 9D 8D 5D 3D 2D White wins.
KD KD 8C 8S 2H TD 9C 8S 7D 6H White wins.
KD KD 8C 8S 2H 9C 8S 7D 6H 5D White wins.
KD KD 8C 8S 2H 8S 7D 6H 5D 4C White wins.
KD KD 8C 8S 2H AS AD AH KD 9C White wins.
KD KD 8C 8S 2H KD TS TD TH 9C White wins.
KD KD 8C 8S 2H KD 9C 5S 5D 5H White wins.
KD KD 8C 8S 2H KD KD 9C 9S 5H White wins.
KD KD 8C 8S 2H KD KD 9C 9S 2H White wins.
KD KD 8C 8S 2H KD KD 8C 8S 2H Tie.
KD KD 8C 8S 2H KD KD 9C 5S 2H Black wins.
KD KD 8C 8S 2H KD KD 8C 5S 2H Black wins.
KD KD 8C 8S 2H KD 9C 5S 5D 2H Black wins.
KD KD 8C 8S 2H KD 9C 5S 3D 2H Black wins.
KD KD 8C 8S 2H TD 9C 5S 3D 2H Black wins.
KD KD 8C 8S 2H 9C 8D 5S 3D 2H Black wins.
KD KD 9C 5S 2H TD 9D 8D 7D 6D White wins.
KD KD 9C 5S 2H 9D 8D 7D 6D 5D White wins.
KD KD 9C 5S 2H 8D 7D 6D 5D 4D White wins.
KD KD 9C 5S 2H AC AS AD AH 9D White wins.
KD KD 9C 5S 2H TC TS TD TH 9D White wins.
KD KD 9C 5S 2H AS AD AH 9D 9C White wins.
KD KD 9C 5S 2H TS TD TH 9D 9C White wins.
KD KD 9C 5S 2H KD 9D 5D 3D 2D White wins.
KD KD 9C 5S 2H TD 9D 5D 3D 2D White wins.
KD KD 9C 5S 2H 9D 8D 5D 3D 2D White wins.
KD KD 9C 5S 2H TD 9C 8S 7D 6H White wins.
KD KD 9C 5S 2H 9C 8S 7D 6H 5D White wins.
KD KD 9C 5S 2H 8S 7D 6H 5D 4C White wins.
KD KD 9C 5S 2H AS AD AH KD 9C White wins.
KD KD 9C 5S 2H KD TS TD TH 9C White wins.
KD KD 9C 5S 2H KD 9C 5S 5D 5H White wins.
KD KD 9C 5S 2H KD KD 9C 9S 5H White wins.
KD KD 9C 5S 2H KD KD 9C 9S 2H White wins.
KD KD 9C 5S 2H KD KD 8C 8S 2H White wins.
KD KD 9C 5S 2H KD KD 9C 5S 2H Tie.
KD KD 9C 5S 2H KD KD 8C 5S 2H Black wins.
KD KD 9C 5S 2H KD 9C 5S 5D 2H Black wins.
KD KD 9C 5S 2H KD 9C 5S 3D 2H Black wins.
KD KD 9C 5S 2H TD 9C 5S 3D 2H Black wins.
KD KD 9C 5S 2H 9C 8D 5S 3D 2H Black wins.
KD KD 8C 5S 2H TD 9D 8D 7D 6D White wins.
KD KD 8C 5S 2H 9D 8D 7D 6D 5D White wins.
KD KD 8C 5S 2H 8D 7D 6D 5D 4D White wins.
KD KD 8C 5S 2H AC AS AD AH 9D White wins.
KD KD 8C 5S 2H TC TS TD TH 9D White wins.
KD KD 8C 5S 2H AS AD AH 9D 9C White wins.
KD KD 8C 5S 2H TS TD TH 9D 9C White wins.
KD KD 8C 5S 2H KD 9D 5D 3D 2D White wins.
KD KD 8C 5S 2H TD 9D 5D 3D 2D White wins.
KD KD 8C 5S 2H 9D 8D 5D 3D 2D White wins.
KD KD 8C 5S 2H TD 9C 8S 7D 6H White wins.
KD KD 8C 5S 2H 9C 8S 7D 6H 5D White wins.
KD KD 8C 5S 2H 8S 7D 6H 5D 4C White wins.
KD KD 8C 5S 2H AS AD AH KD 9C White wins.
KD KD 8C 5S 2H KD TS TD TH 9C White wins.
KD KD 8C 5S 2H KD 9C 5S 5D 5H White wins.
KD KD 8C 5S 2H KD KD 9C 9S 5H White wins.
KD KD 8C 5S 2H KD KD 9C 9S 2H White wins.
KD KD 8C 5S 2H KD KD 8C 8S 2H White wins.
KD KD 8C 5S 2H KD KD 9C 5S 2H White wins.
KD KD 8C 5S 2H KD KD 8C 5S 2H Tie.
KD KD 8C 5S 2H KD 9C 5S 5D 2H Black wins.
KD KD 8C 5S 2H KD 9C 5S 3D 2H Black wins.
KD KD 8C 5S 2H TD 9C 5S 3D 2H Black wins.
KD KD 8C 5S 2H 9C 8D 5S 3D 2H Black wins.
KD 9C 5S 5D 2H TD 9D 8D 7D 6D White wins.
KD 9C 5S 5D 2H 9D 8D 7D 6D 5D White wins.
KD 9C 5S 5D 2H 8D 7D 6D 5D 4D White wins.
KD 9C 5S 5D 2H AC AS AD AH 9D White wins.
KD 9C 5S 5D 2H TC TS TD TH 9D White wins.
KD 9C 5S 5D 2H AS AD AH 9D 9C White wins.
KD 9C 5S 5D 2H TS TD TH 9D 9C White wins.
KD 9C 5S 5D 2H KD 9D 5D 3D 2D White wins.
KD 9C 5S 5D 2H TD 9D 5D 3D 2D White wins.
KD 9C 5S 5D 2H 9D 8D 5D 3D 2D White wins.
KD 9C 5S 5D 2H TD 9C 8S 7D 6H White wins.
KD 9C 5S 5D 2H 9C 8S 7D 6H 5D White wins.
KD 9C 5S 5D 2H 8S 7D 6H 5D 4C White wins.
KD 9C 5S 5D 2H AS AD AH KD 9C White wins.
KD 9C 5S 5D 2H KD TS TD TH 9C White wins.
KD 9C 5S 5D 2H KD 9C 5S 5D 5H White wins.
KD 9C 5S 5D 2H KD KD 9C 9S 5H White wins.
KD 9C 5S 5D 2H KD KD 9C 9S 2H White wins.
KD 9C 5S 5D 2H KD KD 8C 8S 2H White wins.
KD 9C 5S 5D 2H KD KD 9C 5S 2H White wins.
KD 9C 5S 5D 2H KD KD 8C 5S 2H White wins.
KD 9C 5S 5D 2H KD 9C 5S 5D 2H Tie.
KD 9C 5S 5D 2H KD 9C 5S 3D 2H Black wins.
KD 9C 5S 5D 2H TD 9C 5S 3D 2H Black wins.
KD 9C 5S 5D 2H 9C 8D 5S 3D 2H Black wins.
KD 9C 5S 3D 2H TD 9D 8D 7D 6D White wins.
KD 9C 5S 3D 2H 9D 8D 7D 6D 5D White wins.
KD 9C 5S 3D 2H 8D 7D 6D 5D 4D White wins.
KD 9C 5S 3D 2H AC AS AD AH 9D White wins.
KD 9C 5S 3D 2H TC TS TD TH 9D White wins.
KD 9C 5S 3D 2H AS AD AH 9D 9C White wins.
KD 9C 5S 3D 2H TS TD TH 9D 9C White wins.
KD 9C 5S 3D 2H KD 9D 5D 3D 2D White wins.
KD 9C 5S 3D 2H TD 9D 5D 3D 2D White wins.
KD 9C 5S 3D 2H 9D 8D 5D 3D 2D White wins.
KD 9C 5S 3D 2H TD 9C 8S 7D 6H White wins.
KD 9C 5S 3D 2H 9C 8S 7D 6H 5D White wins.
KD 9C 5S 3D 2H 8S 7D 6H 5D 4C White wins.
KD 9C 5S 3D 2H AS AD AH KD 9C White wins.
KD 9C 5S 3D 2H KD TS TD TH 9C White wins.
KD 9C 5S 3D 2H KD 9C 5S 5D 5H White wins.
KD 9C 5S 3D 2H KD KD 9C 9S 5H White wins.
KD 9C 5S 3D 2H KD KD 9C 9S 2H White wins.
KD 9C 5S 3D 2H KD KD 8C 8S 2H White wins.
KD 9C 5S 3D 2H KD KD 9C 5S 2H White wins.
KD 9C 5S 3D 2H KD KD 8C 5S 2H White wins.
KD 9C 5S 3D 2H KD 9C 5S 5D 2H White wins.
KD 9C 5S 3D 2H KD 9C 5S 3D 2H Tie.
KD 9C 5S 3D 2H TD 9C 5S 3D 2H Black wins.
KD 9C 5S 3D 2H 9C 8D 5S 3D 2H Black wins.
TD 9C 5S 3D 2H TD 9D 8D 7D 6D White wins.
TD 9C 5S 3D 2H 9D 8D 7D 6D 5D White wins.
TD 9C 5S 3D 2H 8D 7D 6D 5D 4D White wins.
TD 9C 5S 3D 2H AC AS AD AH 9D White wins.
TD 9C 5S 3D 2H TC TS TD TH 9D White wins.
TD 9C 5S 3D 2H AS AD AH 9D 9C White wins.
TD 9C 5S 3D 2H TS TD TH 9D 9C White wins.
TD 9C 5S 3D 2H KD 9D 5D 3D 2D White wins.
TD 9C 5S 3D 2H TD 9D 5D 3D 2D White wins.
TD 9C 5S 3D 2H 9D 8D 5D 3D 2D White wins.
TD 9C 5S 3D 2H TD 9C 8S 7D 6H White wins.
TD 9C 5S 3D 2H 9C 8S 7D 6H 5D White wins.
TD 9C 5S 3D 2H 8S 7D 6H 5D 4C White wins.
TD 9C 5S 3D 2H AS AD AH KD 9C White wins.
TD 9C 5S 3D 2H KD TS TD TH 9C White wins.
TD 9C 5S 3D 2H KD 9C 5S 5D 5H White wins.
TD 9C 5S 3D 2H KD KD 9C 9S 5H White wins.
TD 9C 5S 3D 2H KD KD 9C 9S 2H White wins.
TD 9C 5S 3D 2H KD KD 8C 8S 2H White wins.
TD 9C 5S 3D 2H KD KD 9C 5S 2H White wins.
TD 9C 5S 3D 2H KD KD 8C 5S 2H White wins.
TD 9C 5S 3D 2H KD 9C 5S 5D 2H White wins.
TD 9C 5S 3D 2H KD 9C 5S 3D 2H White wins.
TD 9C 5S 3D 2H TD 9C 5S 3D 2H Tie.
TD 9C 5S 3D 2H 9C 8D 5S 3D 2H Black wins.
9C 8D 5S 3D 2H TD 9D 8D 7D 6D White wins.
9C 8D 5S 3D 2H 9D 8D 7D 6D 5D White wins.
9C 8D 5S 3D 2H 8D 7D 6D 5D 4D White wins.
9C 8D 5S 3D 2H AC AS AD AH 9D White wins.
9C 8D 5S 3D 2H TC TS TD TH 9D White wins.
9C 8D 5S 3D 2H AS AD AH 9D 9C White wins.
9C 8D 5S 3D 2H TS TD TH 9D 9C White wins.
9C 8D 5S 3D 2H KD 9D 5D 3D 2D White wins.
9C 8D 5S 3D 2H TD 9D 5D 3D 2D White wins.
9C 8D 5S 3D 2H 9D 8D 5D 3D 2D White wins.
9C 8D 5S 3D 2H TD 9C 8S 7D 6H White wins.
9C 8D 5S 3D 2H 9C 8S 7D 6H 5D White wins.
9C 8D 5S 3D 2H 8S 7D 6H 5D 4C White wins.
9C 8D 5S 3D 2H AS AD AH KD 9C White wins.
9C 8D 5S 3D 2H KD TS TD TH 9C White wins.
9C 8D 5S 3D 2H KD 9C 5S 5D 5H White wins.
9C 8D 5S 3D 2H KD KD 9C 9S 5H White wins.
9C 8D 5S 3D 2H KD KD 9C 9S 2H White wins.
9C 8D 5S 3D 2H KD KD 8C 8S 2H White wins.
9C 8D 5S 3D 2H KD KD 9C 5S 2H White wins.
9C 8D 5S 3D 2H KD KD 8C 5S 2H White wins.
9C 8D 5S 3D 2H KD 9C 5S 5D 2H White wins.
9C 8D 5S 3D 2H KD 9C 5S 3D 2H White wins.
9C 8D 5S 3D 2H TD 9C 5S 3D 2H White wins.
9C 8D 5S 3D 2H 9C 8D 5S 3D 2H Tie.
